iter	Passed	Remaining
0	1	1567
1	3	1502
2	4	1493
3	6	1507
4	7	1542
5	9	1549
6	10	1540
7	12	1546
8	14	1560
9	15	1549
10	17	1568
11	19	1569
12	20	1570
13	22	1578
14	24	1582
15	25	1585
16	27	1598
17	29	1599
18	31	1606
19	33	1620
20	35	1653
21	37	1649
22	39	1662
23	41	1672
24	43	1678
25	44	1682
26	46	1687
27	48	1692
28	50	1692
29	52	1697
30	54	1707
31	56	1707
32	58	1713
33	60	1717
34	62	1719
35	64	1720
36	66	1721
37	68	1722
38	70	1732
39	72	1733
40	74	1739
41	76	1742
42	78	1742
43	80	1740
44	81	1738
45	83	1735
46	85	1736
47	87	1733
48	89	1729
49	90	1725
50	92	1719
51	94	1715
52	95	1712
53	97	1710
54	99	1713
55	101	1711
56	103	1710
57	105	1708
58	107	1710
59	109	1716
60	111	1711
61	113	1715
62	115	1715
63	118	1725
64	119	1725
65	121	1722
66	124	1726
67	125	1726
68	128	1731
69	129	1725
70	131	1726
71	133	1726
72	135	1722
73	137	1717
74	139	1714
75	141	1715
76	142	1711
77	144	1707
78	146	1706
79	148	1702
80	149	1701
81	151	1696
82	153	1692
83	155	1690
84	156	1686
85	158	1682
86	159	1678
87	161	1674
88	163	1675
89	165	1669
90	166	1666
91	168	1663
92	170	1662
93	172	1658
94	173	1655
95	175	1652
96	177	1652
97	179	1652
98	181	1649
99	182	1646
100	184	1644
101	186	1642
102	188	1639
103	189	1636
104	191	1634
105	193	1634
106	195	1633
107	197	1630
108	199	1627
109	200	1624
110	202	1622
111	204	1618
112	205	1615
113	207	1612
114	209	1612
115	211	1611
116	213	1609
117	215	1607
118	216	1606
119	218	1603
120	220	1600
121	222	1599
122	223	1595
123	225	1593
124	227	1592
125	229	1590
126	230	1587
127	232	1584
128	234	1581
129	235	1578
130	237	1575
131	239	1573
132	241	1571
133	243	1570
134	244	1568
135	246	1566
136	248	1564
137	250	1562
138	251	1560
139	253	1558
140	255	1557
141	257	1555
142	259	1554
143	260	1551
144	262	1548
145	264	1545
146	266	1547
147	269	1549
148	270	1546
149	272	1541
150	274	1541
151	275	1539
152	277	1536
153	279	1534
154	280	1531
155	282	1530
156	284	1528
157	286	1525
158	288	1523
159	290	1522
160	291	1520
161	293	1518
162	295	1516
163	296	1513
164	298	1511
165	300	1509
166	302	1507
167	303	1505
168	306	1506
169	307	1503
170	309	1500
171	311	1497
172	312	1495
173	314	1494
174	316	1492
175	318	1489
176	319	1487
177	321	1486
178	323	1484
179	325	1482
180	327	1481
181	329	1480
182	331	1479
183	333	1477
184	335	1477
185	337	1475
186	338	1472
187	340	1470
188	342	1468
189	344	1468
190	346	1467
191	348	1465
192	350	1465
193	353	1468
194	355	1467
195	357	1465
196	359	1464
197	361	1463
198	363	1462
199	365	1460
200	367	1460
201	369	1459
202	371	1457
203	373	1457
204	375	1456
205	377	1454
206	379	1452
207	381	1452
208	383	1453
209	386	1452
210	389	1455
211	391	1454
212	393	1452
213	394	1450
214	396	1449
215	399	1450
216	401	1449
217	403	1447
218	405	1445
219	407	1443
220	409	1441
221	410	1439
222	412	1438
223	414	1437
224	416	1435
225	418	1433
226	420	1430
227	421	1428
228	423	1426
229	425	1424
230	427	1423
231	429	1423
232	431	1421
233	433	1420
234	435	1419
235	438	1418
236	440	1417
237	442	1415
238	444	1414
239	446	1413
240	448	1411
241	450	1409
242	451	1407
243	453	1406
244	455	1403
245	457	1402
